,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tool:,Eeschema 6.0.2+dfsg-1,,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,
Component Count:,95,,,,,,,,,,,,,
,,,,,,,,,,,,,,

,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Arrow Part Number,Arrow Price/Stock,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
27,1,R6,5.6K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
28,2,"R7, R8",4K7,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
29,1,R9,1K,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,
30,1,R10,10K,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,
31,1,R11,220R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
32,1,R12,12K,Device:R,Resistor_SMD:R_0805_2012Metric,~,,,,,,,,
33,1,R13,R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
34,1,R14,1R,Device:R,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,~,,,,,,,,
35,3,"R17, R19, R22",1k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
36,3,"R18, R20, R21",100K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
37,1,R23,22k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
38,1,R28,10M,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
39,1,R29,5M,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
40,1,R30,27R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
41,1,R31,270R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
42,12,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12",TestPoint,Connector:TestPoint,TestPoint:TestPoint_Keystone_5015_Micro-Minature,~,,,,,,,,
43,2,"U1, U6",LM2576WU-TR,PSU:LM2576WU-TR,Package_TO_SOT_SMD:TO-263-5_TabPin6,,,,,,,,,
44,1,U2,TL7660CD,PSU:TL7660CD,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,,,,,,,
45,1,U3,ATmega328P-PU,MCU_Microchip_ATmega:ATmega328P-PU,Package_DIP:DIP-28_W7.62mm,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,,,,,,,,
46,1,U4,LM7805SX_NOPB,PSU:LM7805SX_NOPB,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,,,,,,,,
47,1,U7,LM358,Amplifier_Operational:LM358,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm2904-n.pdf,,,,,,,,
48,1,U8,LT1086-ADJ,Regulator_Linear:LT1086-ADJ,Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://www.analog.com/media/en/technical-documentation/data-sheets/1086ffs.pdf,,,,,,,,
49,1,U11,LM334M,Reference_Current:LM334M,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm134.pdf,,,,,,,,
50,1,U13,EN12-VN20AF20,PSU:EN12-VN20AF20,PSU:EN12-VN20AF20,,,,,,,,,
51,1,U14,EN12-VN20AF20,PSU:EN12-VN20AF20,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,,,,,,,
52,1,Y1,Crystal,Device:Crystal,Crystal:Crystal_HC18-U_Vertical,~,,,,,,,,
